RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
82,Kellan Grady (college),https://www.sports-reference.com/cbb/players/kellan-grady-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=davidson,Davidson,,,,,,93,65,68,
83,Kaleb Wesson (college),https://www.sports-reference.com/cbb/players/kaleb-wesson-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=ohiost,Ohio State,,,,92,72,82,87,96,
T83,Xavier Tillman (college),https://www.sports-reference.com/cbb/players/xavier-tillman-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=michiganst,Michigan State,,,,82,74,,86,86,
85,Branden Carlson (college),https://www.sports-reference.com/cbb/players/NULL.html,(college),,,,,,,,,,61,66,,
86,Khalil Garland (college),https://www.sports-reference.com/cbb/players/khalil-garland-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arkansas,Arkansas,,,,70,58,,,,
87,Justin Smith (college),https://www.sports-reference.com/cbb/players/justin-smith-3.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=indiana,Indiana,,,,65,91,95,,80,
88,Jamorko Pickett (college),https://www.sports-reference.com/cbb/players/jamorko-pickett-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=olemiss,Ole Miss,,,,,95,55,81,,
89,Darryl Morsell (college),https://www.sports-reference.com/cbb/players/darryl-morsell-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=maryland,Maryland,,,,,,64,67,,
90,Mark Smith (college),https://www.sports-reference.com/cbb/players/mark-smith-5.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=illinois,Illinois,,,,,,80,55,,
91,Jacob Epperson (college),https://www.sports-reference.com/cbb/players/jacob-epperson-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=creighton,Creighton,,,,95,,65,79,,
